SITE_ID,SITE_NAME,URL,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,Latitude,Longitude,Elevation,IGBP,MAT,MAP
ES-Amo,Amoladeras,http://sites.fluxdata.org/ES-Amo/,Tier2,Tier2: 2007,Tier2: 2012,36.8336,-2.2523,58,OSH,,0
ES-LgS,Laguna Seca,http://sites.fluxdata.org/ES-LgS/,"Tier1,",Tier1: 2007,Tier1: 2009,37.0979,-2.9658,2267,OSH,,
,,,Tier2,Tier2: 2007,Tier2: 2009,,,,,,
ES-LJu,Llano de los Juanes,http://sites.fluxdata.org/ES-LJu/,Tier2,Tier2: 2004,Tier2: 2013,36.9266,-2.7521,1600,OSH,16,400
ES-Ln2,Lanjaron-Salvage logging,http://sites.fluxdata.org/ES-Ln2/,"Tier1,",Tier1: 2009,Tier1: 2009,36.9695,-3.4758,2249,OSH,,
,,,Tier2,Tier2: 2009,Tier2: 2009,,,,,,
FI-Hyy,Hyytiala,http://sites.fluxdata.org/FI-Hyy/,"Tier1,",Tier1: 1996,Tier1: 2014,61.8474,24.2948,181,ENF,3.8,709
,,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
FI-Jok,Jokioinen,http://sites.fluxdata.org/FI-Jok/,"Tier1,",Tier1: 2000,Tier1: 2003,60.8986,23.5135,109,CRO,4.6,627
,,,Tier2,Tier2: 2000,Tier2: 2003,,,,,,
FI-Let,Lettosuo,http://sites.fluxdata.org/FI-Let/,Tier2,Tier2: 2009,Tier2: 2012,60.6418,23.9597,119,ENF,,
FI-Lom,Lompolojänkkä,http://sites.fluxdata.org/FI-Lom/,"Tier1,",Tier1: 2007,Tier1: 2009,67.9972,24.2092,274,WET,-1.4,484
,,,Tier2,Tier2: 2007,Tier2: 2009,,,,,,
FI-Sod,Sodankylä,http://sites.fluxdata.org/FI-Sod/,"Tier1,",Tier1: 2001,Tier1: 2014,67.3619,26.6378,180,ENF,-1,500
,,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
FR-Fon,Fontainebleau-Barbeau,http://sites.fluxdata.org/FR-Fon/,"Tier1,",Tier1: 2005,Tier1: 2014,48.4764,2.7801,103,DBF,10.2,720
,,,Tier2,Tier2: 2005,Tier2: 2014,,,,,,
FR-Gri,Grignon,http://sites.fluxdata.org/FR-Gri/,"Tier1,",Tier1: 2004,Tier1: 2013,48.8442,1.9519,125,CRO,12,650
