Country,Station,Latitude,Longitude
(unknown),JCOMMOPS DB-6200552-17042003,0,0
United Kingdom (the),JCOMMOPS DB-3300957-10112013,-24.2,-13.15
(unknown),JCOMMOPS DB-4400603-19092008,0,0
(unknown),JCOMMOPS MB-1400042-01062010,-11.5,54.1076
United Kingdom (the),JCOMMOPS DB-3300956-02052013,-32.9,-5.468
United States (the),JCOMMOPS MB-1500001-01091997,-9.9,-9.986
United States (the),JCOMMOPS DB-4100975-02062014,28.02,-26.2816
(unknown),JCOMMOPS DB-1500686-27082015,-6.9,-20.569
Italy,JCOMMOPS DB-6101575-22032014,33.54,14.442
United States (the),JCOMMOPS DB-1400553-02122014,-19.2,58.9986
United States (the),JCOMMOPS DB-1500664-09112014,-31.2,-11.5712
Germany,JCOMMOPS DB-7100247-01011900,0,0
(unknown),JCOMMOPS DB-1600614-01011900,0,0
United States (the),JCOMMOPS DB-5600568-10072013,-16.3,58.6473
United States (the),JCOMMOPS DB-1300531-02022015,0,0
(unknown),JCOMMOPS DB-4400776-06032006,0,0
France,JCOMMOPS DB-1400539-10032014,-10,48.841
United States (the),JCOMMOPS DB-1700512-18092014,-32,55.7133
United States (the),JCOMMOPS DB-3300656-21042014,0,0
United States (the),JCOMMOPS DB-1400535-28082014,-8.27,39.592
(unknown),JCOMMOPS DB-6100796-30102014,36.62,2.657
France,JCOMMOPS DB-1600613-16112013,-23.3,50.56
(unknown),JCOMMOPS DB-2300733-24102014,24.61,53.842
United States (the),JCOMMOPS DB-1500501-06052015,-27.6,-4.5788
United States (the),JCOMMOPS DB-1300530-14012015,12.62,-26.3607
Italy,JCOMMOPS DB-6101576-04102015,36.83,-2.476
France,JCOMMOPS MB-6100002-04122001,0,0
United States (the),JCOMMOPS DB-5500613-31012014,0,0
United States (the),JCOMMOPS MB-1300001-01082006,11.47,-22.989
(unknown),JCOMMOPS DB-1300869-01011900,0,0
(unknown),JCOMMOPS DB-6400519-02062000,0,0
(unknown),JCOMMOPS DB-1500682-17042015,-13.8,-10.369
(unknown),JCOMMOPS DB-1500685-26082015,-15.2,-16.93
(unknown),JCOMMOPS DB-5600523-15102002,0,0
United States (the),JCOMMOPS DB-1500654-17092014,-39.4,52.081
(unknown),JCOMMOPS MB-6100211-28092009,39.45,15.917
United States (the),JCOMMOPS DB-1600591-10122013,-26.6,54.862
Spain,JCOMMOPS MB-6100430-30112006,39.55,2.102
Spain,JCOMMOPS MB-6100197-01041993,39.71,4.42
France,JCOMMOPS DB-1600622-09122013,-30.2,36.847
(unknown),JCOMMOPS DB-6400621-01011900,0,0
United States (the),JCOMMOPS DB-6101611-09062014,36.84,10.3246
United States (the),JCOMMOPS DB-1500601-04072014,-26.3,-21.6514
United States (the),JCOMMOPS DB-1400537-28082014,-21.6,35.447
(unknown),JCOMMOPS DB-4400764-08092008,0,0
United States (the),JCOMMOPS DB-1700673-22092013,-39.6,28.619
Australia,JCOMMOPS DB-5600524-27102009,0,0
(unknown),JCOMMOPS DB-2200540-01011900,0,0
(unknown),JCOMMOPS MB-3100006-01062006,4.035,-22.981
(unknown),JCOMMOPS DB-4400779-22032006,0,0
France,JCOMMOPS MB-6100537-02022015,39.03,1.336
(unknown),JCOMMOPS DB-5600546-11122003,0,0
(unknown),JCOMMOPS DB-1500650-06092014,-23.7,-11.982
Greece,JCOMMOPS MB-6101001-23022010,37.6,23.6
(unknown),JCOMMOPS DB-2300980-01011900,0,0
(unknown),JCOMMOPS DB-2300970-01011900,0,0
United States (the),JCOMMOPS DB-4400846-26012014,36.52,-20.986
United States (the),JCOMMOPS DB-5300523-07072014,-7.81,39.4405
(unknown),JCOMMOPS DB-5300592-18122013,-25.4,44.987
(unknown),JCOMMOPS DB-2200612-01011900,0,0
United States (the),JCOMMOPS DB-1500623-04032013,-25.6,-3.917
United States (the),JCOMMOPS DB-1300571-28052015,31.53,-14.8318
United States (the),JCOMMOPS DB-1300570-15092014,39.22,-9.2817
United States (the),JCOMMOPS DB-1400926-09122013,-37,56.1474
United States (the),JCOMMOPS DB-3100912-02122013,1.638,7.406
(unknown),JCOMMOPS DB-2200626-01011900,0,0
(unknown),JCOMMOPS DB-4400763-02062008,0,0
(unknown),JCOMMOPS DB-2200615-01011900,0,0
(unknown),JCOMMOPS DB-6200501-11052010,0,0
United States (the),JCOMMOPS DB-1500645-05052014,-35,-16.8244
United States (the),JCOMMOPS DB-1400901-11042015,-39.5,57.5301
United States (the),JCOMMOPS DB-3300652-21042014,0,0
United States (the),JCOMMOPS DB-3300654-21042014,0,0
United States (the),JCOMMOPS DB-1500652-05092014,-24.1,-22.9359
United States (the),JCOMMOPS DB-3300579-16072014,-39,29.8722
Italy,JCOMMOPS DB-6101570-22032014,31.91,19.893
United Kingdom (the),JCOMMOPS DB-1300659-14102012,36.2,-26.417
United States (the),JCOMMOPS DB-1500937-01032013,-35.6,-20.236
United States (the),JCOMMOPS DB-1400904-24092013,-39.1,17.629
United States (the),JCOMMOPS DB-1500649-06092014,-25.4,-19.3151
France,JCOMMOPS DB-1500953-31032015,-14.4,10.815
(unknown),JCOMMOPS DB-2200538-01011900,0,0
United States (the),JCOMMOPS DB-2300681-01082013,-11.9,42.5673
(unknown),JCOMMOPS MB-6100207-23012010,37.43,15.147
(unknown),JCOMMOPS DB-4400765-29032013,33.19,-16.245
(unknown),JCOMMOPS DB-6400526-01011900,0,0
United States (the),JCOMMOPS DB-1600517-20042015,-33.5,40.4339
(unknown),JCOMMOPS DB-4800655-01011900,0,0
United States (the),JCOMMOPS DB-1700523-17032013,-38.5,16.19
United States (the),JCOMMOPS DB-7100578-08102013,-30.3,15.4206
United States (the),JCOMMOPS DB-6101608-25052014,37.06,-3.6956
(unknown),JCOMMOPS DB-4400760-07082006,0,0
United States (the),JCOMMOPS DB-1500642-02052014,-26.1,-13.5098
(unknown),JCOMMOPS MB-1400041-01062010,-7.98,54.909
France,JCOMMOPS DB-2300776-22032014,1.103,62.0139
France,JCOMMOPS DB-1400538-09032014,1.115,44.03
(unknown),JCOMMOPS DB-1400567-01011900,-0.35,42.5493
(unknown),JCOMMOPS DB-4400609-29052007,0,0
(unknown),JCOMMOPS DB-1300870-01011900,0,0
(unknown),JCOMMOPS DB-2200627-01011900,0,0
United States (the),JCOMMOPS DB-5600906-16122013,-25.3,45.9212
United States (the),JCOMMOPS DB-6101603-28052014,37.32,9.792
United States (the),JCOMMOPS DB-3100511-27042015,-28.3,-0.0923
(unknown),JCOMMOPS DB-1700519-02102014,-37,-12.315
(unknown),JCOMMOPS DB-4400774-28022006,0,0
Italy,JCOMMOPS DB-6101585-15112015,31.31,33.829
(unknown),JCOMMOPS DB-4400773-14072013,33.05,-17.037
United States (the),JCOMMOPS DB-1500510-05072014,-30.9,-17.1685
United States (the),JCOMMOPS DB-1500619-05092014,-27.7,-18.8543
United States (the),JCOMMOPS DB-1500651-06092014,-27.1,-27.4208
United States (the),JCOMMOPS DB-1300525-29012015,9.479,-13.7493
(unknown),JCOMMOPS DB-1500615-04092014,-22.9,14.519
United States (the),JCOMMOPS DB-5300569-10032013,-24.7,53.4953
Greece,JCOMMOPS MB-6101008-29112009,36.79,21.6
United States (the),JCOMMOPS DB-5500612-31012014,0,0
France,JCOMMOPS DB-1500951-17012013,3.997,9.209
United States (the),JCOMMOPS DB-2300916-14122013,-20,49.4576
United States (the),JCOMMOPS DB-1500667-09112014,-29,-14.6164
United Kingdom (the),JCOMMOPS DB-3300955-03052013,-38.2,7.892
United States (the),JCOMMOPS DB-1400946-17122013,8.893,57.887
(unknown),JCOMMOPS DB-2300740-24102014,26.32,50.621
United States (the),JCOMMOPS DB-4400835-04032014,31.22,-25.661
United States (the),JCOMMOPS MB-1500002-22062009,0.021,-9.837
(unknown),JCOMMOPS DB-2200630-01011900,0,0
United States (the),JCOMMOPS DB-3300591-06022014,-37,-11.9298
United States (the),JCOMMOPS DB-6101606-25052014,36.65,0.5554
Spain,JCOMMOPS MB-6100281-01092005,39.46,-0.262
United States (the),JCOMMOPS DB-1400934-10122013,-17.7,-15.8474
(unknown),JCOMMOPS DB-2200537-01011900,0,0
United States (the),JCOMMOPS DB-4100926-30052013,36.9,-20.1332
United States (the),JCOMMOPS DB-1400932-10122013,-37.9,58.259
United States (the),JCOMMOPS DB-3100505-01122013,2.283,-5.403
France,JCOMMOPS DB-1500952-28032015,-0.31,0.039
(unknown),JCOMMOPS DB-6101602-01011900,0,0
(unknown),JCOMMOPS MB-6100221-15122009,39.11,9.405
(unknown),JCOMMOPS DB-6400616-01011900,0,0
United States (the),JCOMMOPS DB-1500502-26112014,-24,4.188
Italy,JCOMMOPS DB-6101578-04102015,36.6,2.205
(unknown),JCOMMOPS DB-4700556-01011900,0,0
France,JCOMMOPS MB-6100539-26012015,37.61,-0.9863
(unknown),JCOMMOPS DB-6400523-21082003,0,0
Greece,JCOMMOPS MB-6101003-02082010,40,24.7
(unknown),JCOMMOPS DB-6400517-11021999,0,0
United States (the),JCOMMOPS DB-1700508-15042014,-29.2,-14.7344
Spain,JCOMMOPS MB-1300130-01061997,28.19,-15.81
(unknown),JCOMMOPS DB-1300868-01011900,0,0
United States (the),JCOMMOPS DB-1400557-16072013,-27,54.139
(unknown),JCOMMOPS DB-6400518-11021999,0,0
United States (the),JCOMMOPS DB-5600911-16122013,-35.1,50.5102
Spain,JCOMMOPS MB-6100417-18072006,37.65,-0.325
United States (the),JCOMMOPS DB-6101598-05072014,36.91,7.0522
(unknown),JCOMMOPS MB-1500006-01032000,-6.03,-10.004
(unknown),JCOMMOPS DB-1300872-01011900,0,0
(unknown),JCOMMOPS DB-2200619-01011900,0,0
(unknown),JCOMMOPS DB-2300918-19122013,14.6,50.846
(unknown),JCOMMOPS DB-2100514-01011900,0,0
United Kingdom (the),JCOMMOPS DB-1500547-01011900,-31.5,-15.436
(unknown),JCOMMOPS DB-2200635-01011900,0,0
United States (the),JCOMMOPS DB-1400903-12042015,-23.9,-9.1526
