GRDC station number,WMO region,WMO subregion,nat_id,river,station,country,Latitude,Longitude,catchment size km2,height of gauge zero m above sea level,GRDC station number of next downstream GRDC station ,daily data available from year,daily data available until year,length of time series daily data,percentage of missing values (daily data),monthly data available from ,monthly data available until ,"length of time series, monthly data",percentage of missing values (monthly data),earliest data available,latest data available,"maximum length of time series, daily and monthly data","mean annual streamflow, m3/s","mean annual volume, km3","mean annual runoff depth, mm"
2903420,2,3,n.a.,LENA,KYUSYUR (KUSUR),RU,70.7,127.65,2430000,-999,2903430,1935,2011,77,0.16,1934,2000,67,0,1934,2011,78,17037.355,537.2900273,221.1070071
2906900,2,6,n.a.,AMUR,KOMSOMOLSK,RU,50.63,137.12,1730000,13,2906901,1940,2006,67,14.61,1932,1990,59,0.99,1932,2006,75,9870.963,311.2906892,179.9368146
2909150,2,9,09803,YENISEY,IGARKA,RU,67.48,86.5,2440000,20,-,1955,2011,57,13.05,1936,2015,80,15,1936,2015,80,19251.296,607.1088707,248.8151109
2912600,2,12,11801,OB,SALEKHARD,RU,66.57,66.53,2949998,-999,-,1954,2010,57,1.76,1930,2015,86,12.79,1930,2015,86,12883.757,406.3021608,137.7296394
2998110,2,98,n.a.,YANA,UBILEYNAYA,RU,70.75,136.08,224000,-999,-,1972,2007,36,0.72,1978,1999,22,6.82,1972,2007,36,1106.868,34.90618925,155.831202
2998510,2,98,n.a.,KOLYMA,KOLYMSKAYA,RU,68.73,158.72,526000,-999,-,1978,2008,31,9.68,1978,2000,23,0,1978,2008,31,3305.222,104.233481,198.1625114
2998720,2,98,01596,BOL'SHOY ANYUY (TRIB. KOLYMA),KONSTANTINOVO,RU,68.15,161.17,49600,-999,-,1978,2011,34,2.18,1978,2015,38,29.39,1978,2015,38,259.777,8.192327472,165.1678926
2999150,2,99,03801,ANABAR,SASKYLAKH,RU,71.98,114.057,78800,3,-,1954,2011,58,3.19,1966,2015,50,31.22,1954,2015,62,467.564,14.7450983,187.1205369
2999910,2,99,03811,OLENEK,7.5KM D/S OF MOUTH OF RIVER PUR,RU,72.12,123.22,198000,-999,-,1953,2011,59,3.38,1965,2015,51,37.91,1953,2015,63,1125.438,35.49181277,179.2515796
3629000,3,29,17050000,AMAZONAS,OBIDOS - PORTO,BR,-1.9472,-55.5111,4680000,37,-,1927,1998,72,30.06,1928,1998,71,29.98,1927,1998,72,169184.124,5335.390535,1140.040713
3629001,3,29,17050001,AMAZONAS,OBIDOS - LINIGRAFO,BR,-1.9192,-55.5131,4680000,37,-,1968,2008,41,6.15,,,,,1968,2008,41,178492.351,5628.934781,1202.763842
3629150,3,29,17500000,RIO TAPAJOS,FORTALEZA,BR,-6.0453,-57.6428,363000,-999,3629152,1983,2008,26,13.81,1983,1995,13,14.97,1983,2008,26,9675.324,305.1210177,840.5537677
3629204,3,29,17680000,RIO JAMANXIM,JAMANXIM,BR,-5.5,-55.8333,40200,-999,3629151,,,,,1986,1992,7,71.25,1986,1992,7,n.a.,n.a.,n.a.
3630050,3,30,18850000,RIO XINGU,ALTAMIRA,BR,-3.2147,-52.2122,446203,-999,-,1971,2008,38,1.86,1971,1998,28,3.42,1971,2008,38,8107.132,255.6665148,572.9825097
3630300,3,30,18200000,RIO MAICURU,ARAPARI,BR,-1.7789,-54.3972,17072,-999,-,1972,2010,39,2.32,1972,1998,27,0,1972,2010,39,131.931,4.160576016,243.7075923
3631050,3,31,30400000,RIO ARAGUARI,PORTO PLATON,BR,0.7075,-51.4389,29820,-999,-,1952,2010,59,23.63,1952,1999,48,28.82,1952,2010,59,977.094,30.81363638,1033.32114
