Name,SymbolID,Status2,Longitude,Latitude
Tortola,1,Not operational,-64.608051,18.424828
Grand Turk Island,1,Not operational,-71.1497194,21.4335778
Port-Tudy (Groix island),0,Operational,-3.447057,47.643913
Tumaco,1,Not operational,-78.7287,1.82
Tumaco,0,Operational,-78.7287,1.82
Tuxpan,0,Operational,-97.4,20.97
Ullapool,0,Operational,-5.16,57.9
Utila Island,1,Not operational,-86.89468,16.09571
Valencia,0,Operational,-0.31128,39.44203
"Veracruz, Ver.",0,Operational,-96.123553,19.192061
"Veracruz, Ver.",0,Operational,-96.123553,19.192061
Vancouver Harbor,0,Operational,-123.116667,49.283333
Victoria Harbor,0,Operational,-123.37,48.42
Vieques_PR,1,Not operational,-65.4714,18.0939
Vieques_PR,0,Operational,-65.4714,18.0939
Vigo,0,Operational,-8.726,42.24314
Villagarcia,0,Operational,-8.77003,42.60071
West Bay Harbour,0,Operational,-2.76398,50.71017
Weymouth,0,Operational,-2.45,50.61
Winter_Harbour_BC,0,Operational,-128.3,50.7
Whitby,0,Operational,-0.61,54.49
Wick Harbour,0,Operational,-3.09,58.44
Winter Harbour,1,Not operational,-129.03,50.51
"Bay Waveland Yacht Club, MS",0,Operational,-89.3258,30.3264
"Bay Waveland Yacht Club, MS",0,Operational,-89.3258,30.3264
"Woods Hole, MA",0,Operational,-70.6717,41.5233
"Woods Hole, MA",0,Operational,-70.6717,41.5233
Workington,0,Operational,-3.57,54.65
"Westport, WA",0,Operational,-124.11,46.9083
"Westport, WA",1,Not operational,-124.11,46.9083
Christmas_KI,0,Operational,-157.473,1.984
"Yabucoa Harbor, PR",0,Operational,-65.833,18.0551
Yakutat_AK,0,Operational,-139.735,59.548
Yakutat_AK,0,Operational,-139.735,59.548
"Zihuatanejo, Gro",0,Operational,-101.558333,17.636667
"Zihuatanejo, Gro",1,Not operational,-101.558333,17.636667
Ancud,0,Operational,-73.833057,-41.867399
Ancud,0,Operational,-73.833057,-41.867399
Antofagasta_CL,0,Operational,-70.404441,-23.653133
Antofagasta_CL,0,Operational,-70.404441,-23.653133
Arica_CL,0,Operational,-70.3232305,-18.4758
Arica_CL,0,Operational,-70.3232305,-18.4758
Arraial do Cabo,0,Operational,-42.013796,-22.97258
Ascension,1,Not operational,-14.41666,-7.91666
Atico_PE,1,Not operational,-73.6944,-16.2311
"Baltra,Galapagos_EC",0,Operational,-90.283,-0.433
Bahia Mansa_CL,0,Operational,-73.737021,-40.581105
Bahia Mansa_CL,0,Operational,-73.737021,-40.581105
Bucalemu_CL,0,Operational,-72.046235,-34.639379
Bucalemu_CL,1,Not operational,-72.046235,-34.639379
Bucalemu_CL,0,Operational,-72.046235,-34.639379
Caldera_CL,0,Operational,-70.82471944,-27.0646055
Caldera_CL,0,Operational,-70.82471944,-27.0646055
"Callao,La-Punta_PE",0,Operational,-77.1668,-12.069
"Owenga, Chatham Island",0,Operational,-176.3688,-44.0247
Chañaral_CL,0,Operational,-70.633759,-26.351758
Chañaral_CL,0,Operational,-70.633759,-26.351758
Caleta Meteoro_CL,0,Operational,-74.066,-52.96
Caleta Meteoro_CL,0,Operational,-74.066,-52.96
Coliumo_CL,0,Operational,-72.957142,-36.53797
Constitucion_CL,0,Operational,-72.457981,-35.356061
Constitucion_CL,0,Operational,-72.457981,-35.356061
Coquimbo_CL,0,Operational,-71.335258,-29.950121
Coquimbo_CL,0,Operational,-71.335258,-29.950121
Corral_CL,0,Operational,-73.42748,-39.886595
Corral_CL,0,Operational,-73.42748,-39.886595
Coronel_CL,0,Operational,-73.151731,-37.028605
Coronel_CL,0,Operational,-73.151731,-37.028605
Castro_CL,0,Operational,-73.758181,-42.480894
Castro_CL,0,Operational,-73.758181,-42.480894
Puerto Deseado,0,Operational,-65.91469444,-47.75357778
Easter_CL,0,Operational,-109.439426,-27.15485
Easter_CL,0,Operational,-109.439426,-27.15485
Fortaleza,0,Operational,-38.4667,-3.716666667
"Leava (Futuna Island, Wallis & Futuna)",0,Operational,-178.160225,-14.296023
"Rikitea (French Polynesia, Gambier, Mangareva)",0,Operational,-134.968888,-23.117774
Gough Island,0,Operational,-9.8803,-40.34944
Bahia Gregorio_CL,0,Operational,-70.20917371,-52.64818512
Bahia Gregorio_CL,0,Operational,-70.20917371,-52.64818512
"Hiva Oa (Marquesas, French Polynesia)",0,Operational,-139.034469,-9.804869
"Huahine island (Society Islands, French Polynesia)",0,Operational,-151.0324458,-16.72156333
Huasco_CL,0,Operational,-71.223832,-28.46082
Huasco_CL,0,Operational,-71.223832,-28.46082
Iquique_CL,0,Operational,-70.14783055,-20.20457778
Iquique_CL,0,Operational,-70.14783055,-20.20457778
Juan_Fernandez,0,Operational,-78.829881,-33.636017
Juan_Fernandez,0,Operational,-78.829881,-33.636017
Kanton_KI,0,Operational,-171.718,-2.801
King Edward Point,0,Operational,-36.5,-54.28
La_Libertad_EC,0,Operational,-80.9064,-2.2177
Lebu,0,Operational,-73.664119,-37.594092
Lebu,0,Operational,-73.664119,-37.594092
Puerto Madryn,0,Operational,-65.03068611,-42.76265
"Makemo (Polynésie française, Tuamotu)",0,Operational,-143.5691,-16.6269
Matarani,0,Operational,-72.1088,-17.0009
Mejillones_CL,0,Operational,-70.450663,-23.097712
Mejillones_CL,0,Operational,-70.450663,-23.097712
Nehuentue_CL,0,Operational,-73.431097,-38.74245
Niue,1,Not operational,-169.9214,-19.0525
Nukualofa_TO,0,Operational,-175.1807,-21.1368
Nuku'Alofa Harbour wharf,1,Not operational,-175.1815,-21.138
Nehuentue_CL,0,Operational,-73.431,-38.7423
Nehuentue_CL,0,Operational,-73.431,-38.7423
"Nuku Hiva (Marquesas, French Polynesia)",0,Operational,-140.084683,-8.914847
Pago_Pago_AS,0,Operational,-170.6907,-14.2766
Pago_Pago_AS,1,Not operational,-170.6907,-14.2766
Pago_Pago_AS,0,Operational,-170.6907,-14.2766
"Papeete (Tahiti, French Polynesia)",1,Not operational,-149.572678,-17.533092
Papeete - ZRN,1,Not operational,-149.5727,-17.5331
Paposo_CL,0,Operational,-70.468728,-25.008982
Paposo_CL,0,Operational,-70.468728,-25.008982
Patache_CL,1,Not operational,-70.198029,-20.803213
Patache_CL,1,Not operational,-70.198029,-20.803213
Puerto_Chacabuco_CL,0,Operational,-72.820045,-45.467076
Puerto_Chacabuco_CL,0,Operational,-72.820045,-45.467076
Puerto Eden_CL,0,Operational,-74.408953,-49.129945
